year;month;tmin;tmax;tmin_norm;tmax_norm
2014;Jan;19.77096774;30.79677419;20;28.7
2014;Fev;19.86785714;30.28928571;20.2;29.1
2014;Mar;19.21290323;28.57096774;19.8;28.4
2014;Abr;17.88666667;27.8;18.8;27.6
2014;Mai;15.41290323;26.39677419;16.6;25.7
2014;Jun;15.26333333;25.86;15.4;24.9
2014;Jul;14.66774194;24.42580645;15.2;24.9
2014;Ago;14.72580645;27.32258065;15.8;26.3
2014;Set;17.28;29.49;17.4;27.9
2014;Out ;18.16774194;29.71935484;18.8;28.7
2014;Nov ;19.13666667;28.56666667;18.9;27.7
2014;Dez;19.69354839;28.81935484;19.5;28.2
2015;Jan;20.01612903;31.6516129;20;28.7
2015;Fev;19.49642857;28.95357143;20.2;29.1
2015;Mar;19.26774194;28.92580645;19.8;28.4
2015;Abr;18.38333333;27.57333333;18.8;27.6
2015;Mai;16.25483871;24.97419355;16.6;25.7
2015;Jun;14.66;24.91666667;15.4;24.9
2015;Jul;15.39032258;25.96774194;15.2;24.9
2015;Ago;15.64516129;27.16129032;15.8;26.3
2015;Set;19.13;30.73666667;17.4;27.9
2015;Out ;20.59032258;32.73548387;18.8;28.7
2015;Nov ;20.57666667;30.83666667;18.9;27.7
2015;Dez;19.90645161;30.00322581;19.5;28.2
2016;Jan;19.89032258;28.3516129;20;28.7
2016;Fev;20.62142857;31.15185185;20.2;29.1
2016;Mar;19.69354839;28.9483871;19.8;28.4
2016;Abr;18.97;29.09333333;18.8;27.6
2016;Mai;16.58387097;27.1516129;16.6;25.7
2016;Jun;14.63333333;24.62;15.4;24.9
2016;Jul;14.71290323;26.58064516;15.2;24.9
2016;Ago;15.75483871;27.93870968;15.8;26.3
2016;Set;18.23666667;30.03333333;17.4;27.9
2016;Out ;19.4516129;29.63870968;18.8;28.7
2016;Nov ;18.68666667;27.95;18.9;27.7
2016;Dez;19.09677419;28.9516129;19.5;28.2
2017;Jan;20.23548387;30.20645161;20;28.7
2017;Fev;19.46785714;28.36428571;20.2;29.1
2017;Mar;18.64193548;29.5;19.8;28.4
2017;Abr;18.40666667;28.12;18.8;27.6
2017;Mai;16.17096774;25.94193548;16.6;25.7
2017;Jun;14.48;25.90666667;15.4;24.9
2017;Jul;12.77419355;23.39032258;15.2;24.9
2017;Ago;14.89;27.57586207;15.8;26.3
2017;Set;15.87;27.65;17.4;27.9
2017;Out ;18.91612903;30.53870968;18.8;28.7
2017;Nov ;18.74666667;27.32666667;18.9;27.7
2017;Dez;19.80645161;28.54516129;19.5;28.2
2018;Jan;20.01935484;29.76129032;20;28.7
2018;Fev;19.30357143;28.16785714;20.2;29.1
2018;Mar;19.35806452;29.15483871;19.8;28.4
2018;Abr;17.73333333;27.05333333;18.8;27.6
2018;Mai;14.96451613;26.21935484;16.6;25.7
2018;Jun;15.54;26.27;15.4;24.9
2018;Jul;14.08709677;26.59677419;15.2;24.9
2018;Ago;15.5516129;26.17419355;15.8;26.3
2018;Set;17.55666667;28.51;17.4;27.9
2018;Out ;19.43225806;29.5;18.8;28.7
2018;Nov ;18.59666667;27.01;18.9;27.7
2018;Dez;19.01612903;29.2;19.5;28.2
2019;Jan;20.37741935;30.95483871;20;28.7
2019;Fev;20.16071429;30.12857143;20.2;29.1
2019;Mar;19.21935484;29.52580645;19.8;28.4
2019;Abr;18.88;29.14333333;18.8;27.6
2019;Mai;17.09677419;27.83225806;16.6;25.7
2019;Jun;14.78;26.06333333;15.4;24.9
2019;Jul;12.97096774;25.6;15.2;24.9
2019;Ago;15.56129032;27.29677419;15.8;26.3
2019;Set;18.5;30.50666667;17.4;27.9
2019;Out ;19.35483871;32;18.8;28.7
2019;Nov ;19.69;29.95;18.9;27.7
2019;Dez;19.43548387;28.79354839;19.5;28.2
2020;Jan;19.90322581;29.51935484;20;28.7
2020;Fev;19.65172414;28.58275862;20.2;29.1
2020;Mar;18.68387097;28.18709677;19.8;28.4
2020;Abr;17.69333333;27.80666667;18.8;27.6
2020;Mai;14.04193548;25.20967742;16.6;25.7
2020;Jun;13.90333333;26.47666667;15.4;24.9
2020;Jul;14.77419355;26.72258065;15.2;24.9
