data,mes,ano,temp_min,temp_media,temp_max,amplitude_termica,orvalho,umidade_relativa_min,umidade_relativa_media,velocidade_vento_media,velocidade_vento_max,pressao_atm_media,precipitacao_total,obitos_feminino,obitos_masculino,obitos_infantil,obitos_total
19jan2014,1,2014,17.4,21.700001,29.4,12,16.4,39,74.300003,1.7,8.8000002,917.90002,11.2,15,21,,36
23jan2014,1,2014,17.5,23.5,30.299999,12.799999,17.799999,44,72.599998,1.7,6.8000002,919.09998,20.200001,28,23,,51
18jan2014,1,2014,17.700001,20.4,27.6,9.8999996,17.5,53,84.300003,1.1,9.8000002,919.09998,7,17,21,,38
21jan2014,1,2014,18.1,23,29.4,11.299999,17.299999,43,72.5,1.3,6.5,919,28,14,22,,36
22jan2014,1,2014,18.200001,22.799999,30.799999,12.599998,17.5,37,74.5,1.6,13.8,919.79999,4.1999998,18,23,,41
20jan2014,1,2014,18.299999,22.1,30,11.700001,17.4,38,76.800003,1.5,8.8999996,917.70001,4.4000001,17,23,,40
08jan2014,1,2014,18.799999,23.9,30.299999,11.5,14.1,33,55.799999,2.8,8.1000004,918.79999,0,13,26,,39
04jan2014,1,2014,18.9,26.299999,33.299999,14.4,14.7,23,52.299999,2.2,10.3,917.90002,0,18,23,,41
31jan2014,1,2014,19.1,24.4,30.6,11.5,13,26,52,3.0999999,9.1999998,920.5,0,26,15,,41
28jan2014,1,2014,19.4,24.299999,30.200001,10.800001,13.4,28,53,3,9.3999996,920.70001,0,24,23,,47
06jan2014,1,2014,19.5,24.700001,30.200001,10.700001,13.5,30,51.299999,2.9000001,9.6999998,919.20001,0,21,32,,53
26jan2014,1,2014,19.5,24.9,30,10.5,15.1,34,55.700001,2.2,8.3999996,918.40002,0,21,22,,43
07jan2014,1,2014,19.5,23.799999,29.200001,9.7000008,14,36,55,2.9000001,9.1000004,919.09998,0,16,6,,22
29jan2014,1,2014,19.5,24,29.4,9.8999996,14.3,40,55.200001,2.5999999,9.3999996,920.79999,0,11,19,,30
30jan2014,1,2014,19.6,24.299999,29.799999,10.199999,15.3,31,59.099998,2.8,9.3000002,920.5,0,16,19,,35
09jan2014,1,2014,19.700001,24.1,30.4,10.699999,14.6,32,56.700001,2.9000001,8.8999996,918.09998,0,21,22,,43
25jan2014,1,2014,19.799999,25.4,30.9,11.1,15.9,33,57.5,2.0999999,7,916.40002,0,25,23,,48
10jan2014,1,2014,19.9,23.9,30,10.1,16.9,44,65.900002,2.9000001,10.6,918.20001,0,30,21,,51
01jan2014,1,2014,20.1,25.799999,32.200001,12.1,19.200001,39,69.5,1.1,6.0999999,916.40002,.2,21,25,,46
