> resultados
                                       modelo deviance_media pearson_media     QAIC  tipo delta_QAIC
1      temp_media_knots_50_90_lag_21_logknots      0.7425836     0.7414122 3098.644 media  0.0000000
2         temp_max_knots_50_90_lag_21_equally      0.7477992     0.7465804 3098.827   max  0.0000000
3        temp_max_knots_50_90_lag_21_logknots      0.7445972     0.7434061 3099.217   max  0.3897650
4       temp_media_knots_50_90_lag_21_equally      0.7469161     0.7456928 3099.278 media  0.6339555
5   temp_media_knots_10_75_90_lag_21_logknots      0.7417297     0.7405875 3102.860 media  4.2161848
6   temp_media_knots_25_50_90_lag_21_logknots      0.7418371     0.7406969 3102.898 media  4.2543429
7   temp_media_knots_10_50_90_lag_21_logknots      0.7414227     0.7402727 3103.147 media  4.5037623
8      temp_max_knots_50_75_90_lag_21_equally      0.7479997     0.7467720 3103.590   max  4.7632570
9      temp_max_knots_10_50_90_lag_21_equally      0.7477454     0.7465384 3103.687   max  4.8598234
10     temp_max_knots_25_50_90_lag_21_equally      0.7476192     0.7464093 3103.784   max  4.9572750
11   temp_media_knots_25_50_90_lag_21_equally      0.7467697     0.7455595 3103.824 media  5.1805101
12  temp_media_knots_50_75_90_lag_21_logknots      0.7419284     0.7407519 3103.836 media  5.1918982
13   temp_media_knots_10_50_90_lag_21_equally      0.7466702     0.7454598 3103.889 media  5.2449036
14   temp_media_knots_10_75_90_lag_21_equally      0.7462378     0.7450302 3103.897 media  5.2536433
15     temp_max_knots_10_75_90_lag_21_equally      0.7473576     0.7461458 3103.945   max  5.1177997
16    temp_max_knots_10_50_90_lag_21_logknots      0.7445037     0.7433272 3103.981   max  5.1545020
17    temp_max_knots_25_50_90_lag_21_logknots      0.7444621     0.7432863 3104.008   max  5.1809592
18    temp_max_knots_50_75_90_lag_21_logknots      0.7452563     0.7440521 3104.113   max  5.2856466
19    temp_max_knots_10_75_90_lag_21_logknots      0.7443212     0.7431451 3104.143   max  5.3155992
20   temp_media_knots_50_75_90_lag_21_equally      0.7458029     0.7445703 3104.809 media  6.1657354
21      temp_media_knots_50_90_lag_14_equally      0.7447463     0.7435670 3105.690 media  7.0465491
22        temp_max_knots_50_90_lag_14_equally      0.7460135     0.7448111 3106.317   max  7.4899336
23       temp_max_knots_50_90_lag_14_logknots      0.7454601     0.7442594 3106.569   max  7.7424635
24     temp_media_knots_50_90_lag_14_logknots      0.7427693     0.7415620 3106.763 media  8.1190364
25      temp_media_knots_50_90_lag_10_equally      0.7442163     0.7430626 3109.486 media 10.8419664
26   temp_media_knots_10_50_90_lag_14_equally      0.7436629     0.7425058 3110.136 media 11.4925164
27   temp_media_knots_25_50_90_lag_14_equally      0.7439271     0.7427616 3110.226 media 11.5825331
28   temp_media_knots_10_75_90_lag_14_equally      0.7437627     0.7425893 3110.428 media 11.7846808
29       temp_max_knots_50_90_lag_10_logknots      0.7455364     0.7443408 3110.576   max 11.7486641
30     temp_max_knots_50_75_90_lag_14_equally      0.7467848     0.7455925 3110.578   max 11.7512590
31        temp_max_knots_50_90_lag_10_equally      0.7458452     0.7446436 3110.612   max 11.7846885
32     temp_media_knots_50_90_lag_10_logknots      0.7432640     0.7420656 3110.742 media 12.0988040
33  temp_media_knots_25_50_90_lag_14_logknots      0.7419131     0.7407398 3110.994 media 12.3506774
34    temp_max_knots_50_75_90_lag_14_logknots      0.7457218     0.7445185 3111.034   max 12.2069515
35  temp_media_knots_10_75_90_lag_14_logknots      0.7415524     0.7403696 3111.110 media 12.4662242
36     temp_max_knots_10_50_90_lag_14_equally      0.7462292     0.7450361 3111.129   max 12.3021612
37  temp_media_knots_10_50_90_lag_14_logknots      0.7416655     0.7404862 3111.199 media 12.5550488
38   temp_media_knots_50_75_90_lag_14_equally      0.7439918     0.7427869 3111.221 media 12.5773410
39    temp_max_knots_10_50_90_lag_14_logknots      0.7451902     0.7439988 3111.337   max 12.5096786
40     temp_max_knots_25_50_90_lag_14_equally      0.7462545     0.7450517 3111.398   max 12.5709512
41    temp_max_knots_25_50_90_lag_14_logknots      0.7450896     0.7438929 3111.459   max 12.6319925
42     temp_max_knots_10_75_90_lag_14_equally      0.7458810     0.7446761 3111.522   max 12.6949368
43    temp_max_knots_10_75_90_lag_14_logknots      0.7449303     0.7437350 3111.531   max 12.7042619
44  temp_media_knots_50_75_90_lag_14_logknots      0.7418963     0.7406748 3111.989 media 13.3457669
45       temp_media_knots_50_90_lag_7_equally      0.7451577     0.7439732 3112.937 media 14.2929200
46        temp_max_knots_50_90_lag_7_logknots      0.7479959     0.7468183 3113.088   max 14.2607020
47         temp_max_knots_50_90_lag_7_equally      0.7479039     0.7467133 3113.297   max 14.4700145
48      temp_media_knots_50_90_lag_7_logknots      0.7450764     0.7438786 3113.430 media 14.7865923
49   temp_media_knots_10_50_90_lag_10_equally      0.7430024     0.7418891 3113.799 media 15.1550507
50   temp_media_knots_25_50_90_lag_10_equally      0.7432289     0.7421088 3113.846 media 15.2028365
51   temp_media_knots_10_75_90_lag_10_equally      0.7431222     0.7419848 3114.255 media 15.6112133
52    temp_max_knots_50_75_90_lag_10_logknots      0.7460781     0.7448950 3114.689   max 15.8624339
53     temp_max_knots_50_75_90_lag_10_equally      0.7464232     0.7452430 3114.716   max 15.8894452
54  temp_media_knots_25_50_90_lag_10_logknots      0.7426258     0.7414701 3114.948 media 16.3040014
55  temp_media_knots_10_50_90_lag_10_logknots      0.7423491     0.7411883 3115.117 media 16.4729877
56  temp_media_knots_10_75_90_lag_10_logknots      0.7421620     0.7409954 3115.147 media 16.5038100
57    temp_max_knots_10_50_90_lag_10_logknots      0.7454936     0.7443079 3115.346   max 16.5186821
58    temp_max_knots_25_50_90_lag_10_logknots      0.7455314     0.7443431 3115.411   max 16.5837525
59     temp_max_knots_10_50_90_lag_10_equally      0.7455399     0.7443465 3115.503   max 16.6759009
60        temp_max_knots_50_90_lag_5_logknots      0.7484393     0.7472394 3115.510   max 16.6832750
61         temp_max_knots_50_90_lag_5_equally      0.7484393     0.7472394 3115.510   max 16.6832750
62   temp_media_knots_50_75_90_lag_10_equally      0.7436042     0.7424072 3115.560 media 16.9167089
63    temp_max_knots_10_75_90_lag_10_logknots      0.7453305     0.7441421 3115.572   max 16.7454984
64     temp_max_knots_25_50_90_lag_10_equally      0.7455128     0.7443155 3115.598   max 16.7712106
65     temp_max_knots_10_75_90_lag_10_equally      0.7453591     0.7441604 3115.748   max 16.9210804
66       temp_media_knots_50_90_lag_5_equally      0.7465727     0.7453523 3115.756 media 17.1127890
67      temp_media_knots_50_90_lag_5_logknots      0.7465727     0.7453523 3115.756 media 17.1127890
68  temp_media_knots_50_75_90_lag_10_logknots      0.7424211     0.7412088 3116.091 media 17.4471845
69    temp_media_knots_25_50_90_lag_7_equally      0.7440905     0.7429460 3117.013 media 18.3693870
70    temp_media_knots_10_50_90_lag_7_equally      0.7437373     0.7425924 3117.154 media 18.5106258
71    temp_media_knots_10_75_90_lag_7_equally      0.7441481     0.7429889 3117.425 media 18.7817585
72   temp_media_knots_25_50_90_lag_7_logknots      0.7435126     0.7423640 3117.427 media 18.7836230
73   temp_media_knots_10_50_90_lag_7_logknots      0.7435003     0.7423504 3117.543 media 18.8990113
74   temp_media_knots_10_75_90_lag_7_logknots      0.7434017     0.7422451 3117.607 media 18.9631379
75      temp_max_knots_50_75_90_lag_7_equally      0.7477350     0.7465452 3117.717   max 18.8903871
76     temp_max_knots_50_75_90_lag_7_logknots      0.7476161     0.7464234 3117.929   max 19.1023449
77     temp_max_knots_10_50_90_lag_7_logknots      0.7466568     0.7454771 3118.075   max 19.2477434
78     temp_max_knots_10_75_90_lag_7_logknots      0.7467914     0.7456149 3118.077   max 19.2498953
79     temp_max_knots_25_50_90_lag_7_logknots      0.7463970     0.7452102 3118.178   max 19.3510639
80      temp_max_knots_10_50_90_lag_7_equally      0.7471309     0.7459387 3118.202   max 19.3754415
81      temp_max_knots_10_75_90_lag_7_equally      0.7469185     0.7457282 3118.255   max 19.4283273
82      temp_max_knots_25_50_90_lag_7_equally      0.7466317     0.7454349 3118.301   max 19.4742907
83    temp_media_knots_50_75_90_lag_7_equally      0.7448374     0.7436263 3118.607 media 19.9633264
84   temp_media_knots_50_75_90_lag_7_logknots      0.7439426     0.7427315 3118.794 media 20.1502237
85     temp_max_knots_50_75_90_lag_5_logknots      0.7492768     0.7480608 3120.271   max 21.4436392
86      temp_max_knots_50_75_90_lag_5_equally      0.7492768     0.7480608 3120.271   max 21.4436392
87     temp_max_knots_10_50_90_lag_5_logknots      0.7473645     0.7461672 3120.352   max 21.5247348
88      temp_max_knots_10_50_90_lag_5_equally      0.7473645     0.7461672 3120.352   max 21.5247348
89     temp_max_knots_25_50_90_lag_5_logknots      0.7470866     0.7458843 3120.417   max 21.5902420
90      temp_max_knots_25_50_90_lag_5_equally      0.7470866     0.7458843 3120.417   max 21.5902420
91     temp_max_knots_10_75_90_lag_5_logknots      0.7472191     0.7460219 3120.465   max 21.6381995
92      temp_max_knots_10_75_90_lag_5_equally      0.7472191     0.7460219 3120.465   max 21.6381995
93    temp_media_knots_10_50_90_lag_5_equally      0.7458563     0.7446546 3120.465 media 21.8215270
94   temp_media_knots_10_50_90_lag_5_logknots      0.7458563     0.7446546 3120.465 media 21.8215270
95    temp_media_knots_10_75_90_lag_5_equally      0.7450580     0.7438530 3120.503 media 21.8597276
96   temp_media_knots_10_75_90_lag_5_logknots      0.7450580     0.7438530 3120.503 media 21.8597276
97   temp_media_knots_25_50_90_lag_5_logknots      0.7455872     0.7443834 3120.546 media 21.9021473
98    temp_media_knots_25_50_90_lag_5_equally      0.7455872     0.7443834 3120.546 media 21.9021473
99    temp_media_knots_50_75_90_lag_5_equally      0.7447226     0.7434971 3120.890 media 22.2459579
100  temp_media_knots_50_75_90_lag_5_logknots      0.7447226     0.7434971 3120.890 media 22.2459579
101     temp_media_knots_50_90_lag_3_logknots      0.7470409     0.7458264 3123.162 media 24.5183034
102      temp_media_knots_50_90_lag_3_equally      0.7470409     0.7458264 3123.162 media 24.5183034
103       temp_max_knots_50_90_lag_3_logknots      0.7490338     0.7478289 3123.224   max 24.3973619
104        temp_max_knots_50_90_lag_3_equally      0.7490338     0.7478289 3123.224   max 24.3973619
105  temp_media_knots_50_75_90_lag_3_logknots      0.7463247     0.7451345 3129.625 media 30.9808547
106   temp_media_knots_50_75_90_lag_3_equally      0.7463247     0.7451345 3129.625 media 30.9808547
107  temp_media_knots_10_75_90_lag_3_logknots      0.7461981     0.7450021 3129.859 media 31.2150725
108   temp_media_knots_10_75_90_lag_3_equally      0.7461981     0.7450021 3129.859 media 31.2150725
109    temp_max_knots_50_75_90_lag_3_logknots      0.7492314     0.7480228 3129.901   max 31.0745605
110     temp_max_knots_50_75_90_lag_3_equally      0.7492314     0.7480228 3129.901   max 31.0745605
111  temp_media_knots_25_50_90_lag_3_logknots      0.7463862     0.7451838 3130.097 media 31.4531869
112   temp_media_knots_25_50_90_lag_3_equally      0.7463862     0.7451838 3130.097 media 31.4531869
113    temp_max_knots_10_50_90_lag_3_logknots      0.7484222     0.7472220 3130.158   max 31.3309186
114     temp_max_knots_10_50_90_lag_3_equally      0.7484222     0.7472220 3130.158   max 31.3309186
115    temp_max_knots_25_50_90_lag_3_logknots      0.7487254     0.7475229 3130.161   max 31.3340667
116     temp_max_knots_25_50_90_lag_3_equally      0.7487254     0.7475229 3130.161   max 31.3340667
117  temp_media_knots_10_50_90_lag_3_logknots      0.7465581     0.7453476 3130.222 media 31.5783886
118   temp_media_knots_10_50_90_lag_3_equally      0.7465581     0.7453476 3130.222 media 31.5783886
119    temp_max_knots_10_75_90_lag_3_logknots      0.7487913     0.7475942 3130.243   max 31.4165664
120     temp_max_knots_10_75_90_lag_3_equally      0.7487913     0.7475942 3130.243   max 31.4165664
