data;hora;temperatura_maxima
01/01/2014;0;25.2
01/01/2014;100;24.3
01/01/2014;200;24.3
01/01/2014;300;24.1
01/01/2014;400;23.2
01/01/2014;500;22.3
01/01/2014;600;22
01/01/2014;700;21.5
01/01/2014;800;21.5
01/01/2014;900;20.7
01/01/2014;1000;23.6
01/01/2014;1100;25.5
01/01/2014;1200;27.8
01/01/2014;1300;29.3
01/01/2014;1400;30.3
01/01/2014;1500;31.4
01/01/2014;1600;32.2
01/01/2014;1700;32
01/01/2014;1800;31.2
01/01/2014;1900;30.1
01/01/2014;2000;30.6
01/01/2014;2100;29.5
01/01/2014;2200;28.4
01/01/2014;2300;26.8
02/01/2014;0;25.6
02/01/2014;100;25.2
02/01/2014;200;24.3
02/01/2014;300;24.6
02/01/2014;400;24.8
02/01/2014;500;24.7
02/01/2014;600;24.7
02/01/2014;700;23.8
02/01/2014;800;24
02/01/2014;900;24.1
02/01/2014;1000;24.7
02/01/2014;1100;27.2
02/01/2014;1200;28.2
02/01/2014;1300;29.5
02/01/2014;1400;29.8
02/01/2014;1500;31.9
02/01/2014;1600;32.6
02/01/2014;1700;33.1
02/01/2014;1800;33.4
02/01/2014;1900;33.5
02/01/2014;2000;32.7
02/01/2014;2100;31.9
02/01/2014;2200;29.7
02/01/2014;2300;28.4
03/01/2014;0;27.3
03/01/2014;100;26.1
03/01/2014;200;25.6
03/01/2014;300;24.9
03/01/2014;400;23.9
03/01/2014;500;23.5
03/01/2014;600;23
03/01/2014;700;22.5
03/01/2014;800;22.2
03/01/2014;900;22
03/01/2014;1000;24
03/01/2014;1100;26
03/01/2014;1200;27.3
03/01/2014;1300;28.6
03/01/2014;1400;30.2
03/01/2014;1500;30.9
03/01/2014;1600;31.9
03/01/2014;1700;32.6
03/01/2014;1800;33.1
03/01/2014;1900;32.4
03/01/2014;2000;30.6
03/01/2014;2100;30.6
03/01/2014;2200;28.8
03/01/2014;2300;28.8
04/01/2014;0;27.6
04/01/2014;100;26.3
04/01/2014;200;24.7
04/01/2014;300;23.3
04/01/2014;400;23.7
04/01/2014;500;23.4
04/01/2014;600;22.8
04/01/2014;700;22.1
04/01/2014;800;20.4
04/01/2014;900;21.4
04/01/2014;1000;24
04/01/2014;1100;26.3
04/01/2014;1200;27.2
04/01/2014;1300;28.1
04/01/2014;1400;30.1
04/01/2014;1500;31.6
04/01/2014;1600;32.6
04/01/2014;1700;32.8
04/01/2014;1800;33.3
04/01/2014;1900;33.1
04/01/2014;2000;32
04/01/2014;2100;30.9
04/01/2014;2200;29.4
04/01/2014;2300;27.6
05/01/2014;0;26.6
05/01/2014;100;25.2
05/01/2014;200;24.6
05/01/2014;300;23.4
05/01/2014;400;24
05/01/2014;500;23.4
05/01/2014;600;22.7
05/01/2014;700;22.6
05/01/2014;800;22.2
05/01/2014;900;22.1
05/01/2014;1000;23.7
05/01/2014;1100;24.8
05/01/2014;1200;26.5
05/01/2014;1300;27.7
05/01/2014;1400;29.5
05/01/2014;1500;30.4
05/01/2014;1600;30.9
05/01/2014;1700;30.8
05/01/2014;1800;31.2
05/01/2014;1900;31.1
05/01/2014;2000;29.4
05/01/2014;2100;28.4
05/01/2014;2200;27.4
05/01/2014;2300;26.2
06/01/2014;0;25.1
06/01/2014;100;24.3
06/01/2014;200;23.7
06/01/2014;300;23.3
06/01/2014;400;22.9
06/01/2014;500;22.4
06/01/2014;600;21.8
06/01/2014;700;21.6
06/01/2014;800;21.2
06/01/2014;900;20.1
06/01/2014;1000;21.9
06/01/2014;1100;22.7
06/01/2014;1200;24.8
06/01/2014;1300;26.9
06/01/2014;1400;27.9
06/01/2014;1500;28.6
06/01/2014;1600;29.3
06/01/2014;1700;29.6
06/01/2014;1800;30.2
